station_id,D_station,station_latitude,station_longitude,bikepath
364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854000001,
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,
399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,
293,Lafayette St & E 8 St,40.73028666,-73.9907647,
250,Lafayette St & Jersey St,40.72456089,-73.99565293000001,
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810230999999,
248,Laight St & Hudson St,40.72185379,-74.00771779,
323,Lawrence St & Willoughby St,40.69236178,-73.98631746,
396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,
3098,Leonard St & Bayard St,40.71928,-73.94861,
3072,Leonard St & Boerum St,40.70583339,-73.94644578000001,
320,Leonard St & Church St,40.717571,-74.005549,
3079,Leonard St & Grand St,40.71103537,-73.94714303000001,
3099,Leonard St & Manhattan Ave,40.7215224,-73.94898266,
3043,Lewis Ave & Decatur St,40.6814598,-73.93490300000001,
3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,
3052,Lewis Ave & Madison St,40.686312,-73.93577500000001,
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,
540,Lexington Ave & E 29 St,40.74311555,-73.98215353000001,
3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,
195,Liberty St & Broadway,40.70905623,-74.01043382,
257,Lispenard St & Broadway,40.71939226,-74.00247214,
2008,Little West St & 1 Pl,40.70569254,-74.01677685,hudson river greenway
3069,Lorimer St & Broadway,40.70411791,-73.94818595,
252,MacDougal St & Washington Sq,40.73226398,-73.99852205000001,
437,Macon St & Nostrand Ave,40.68098339,-73.95004797999999,
340,Madison St & Clinton St,40.71269042,-73.98776323,
291,Madison St & Montgomery St,40.713126,-73.984844,
264,Maiden Ln & Pearl St,40.70706456,-74.00731853000001,
3046,Marcus Garvey Blvd & Macon St,40.682601,-73.93803699999999,
3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,
3229,Marcy Ave & MacDonough St,40.68061768,-73.94624949,
408,Market St & Cherry St,40.71076228,-73.99400398,
3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,
3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279000001,
375,Mercer St & Bleecker St,40.72679454,-73.99695094000001,
303,Mercer St & Spring St,40.72362738,-73.99949601,
3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,
3112,Milton St & Franklin St,40.72906,-73.95779,
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,
289,Monroe St & Classon Ave,40.6845683,-73.95881081,
3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,
251,Mott St & Prince St,40.72317958,-73.99480011999999,
309,Murray St & West St,40.7149787,-74.013012,hudson river greenway
3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,
3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,
3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,8/9th ave
3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,
3105,N 15 St & Wythe Ave,40.724055,-73.955736,
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,
3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,
3097,N Henry St & Richardson St,40.71921585,-73.94244689999999,
3108,Nassau Ave & Russell St,40.72557,-73.94434,
144,Nassau St & Navy St,40.69839895,-73.98068914,
3211,Newark Ave,40.72152515,-74.04630453999999,
311,Norfolk St & Broome St,40.7172274,-73.98802084,
3111,Norman Ave & Leonard St,40.7258483,-73.95064893,
3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,
3019,NYCBS Depot - DEL,40.716633,-73.981933,
3039,NYCBS Depot - DYR,40.75908809,-73.99375051,
3017,NYCBS Depot - FAR,40.751483,-73.996764,
255,NYCBS Depot - SSP,40.646768,-74.01651,
3219,NYCBS Depot - STY,40.729193,-73.97665499999999,
217,Old Fulton St,40.70277159,-73.99383605,
337,Old Slip & Front St,40.7037992,-74.00838675999999,
3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.94134200000001,
119,Park Ave & St Edwards St,40.69608941,-73.97803415,
414,Pearl St & Anchorage Pl,40.70281858,-73.98765761999999,
415,Pearl St & Hanover Square,40.7047177,-74.00926027,
279,Peck Slip & Front St,40.707873,-74.00167,
3230,Penn Station Valet,40.7512836,-73.99692446,
247,Perry St & Bleecker St,40.73535398,-74.00483091,
519,Pershing Square North,40.751873,-73.977706,
517,Pershing Square South,40.751581,-73.97790999999999,
295,Pike St & E Broadway,40.71406667,-73.99293911,
331,Pike St & Monroe St,40.71173107,-73.99193043,
400,Pitt St & Stanton St,40.71926081,-73.98178024000001,
3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,
3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717000001,
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100055999999,
